name,id
RAMA4_SB_4_2_XSXX,25053655#0_2
RAMA4_SB_5_0_XSXX,453680009#0-AddedOffRampEdge_0
RAMA4_SB_5_1_XSXX,453680009#0-AddedOffRampEdge_1
RAMA4_SB_5_2_XSXX,453680009#0-AddedOffRampEdge_2
RAMA4_SB_5_3_XSXX,453680009#0-AddedOffRampEdge_3
RAMA4_SB_5_4_XSXX,453680009#0-AddedOffRampEdge_4
RAMA4_WB_0_0_XSXX,825786416_0
RAMA4_WB_0_1_XSXX,825786416_1
RAMA4_WB_0_2_XSXX,825786416_2
RAMA4_WB_0_3_XSXX,825786416_3
RAMA4_WB_0_4_XSRT,825786416_4
RAMA4_WB_1_0_LSXX,825786415_0
RAMA4_WB_1_1_XSXX,825786415_1
RAMA4_WB_1_2_XSXX,825786415_2
RAMA4_WB_1_3_XSXX,825786415_3
RAMA4_WB_1_4_XSXX,825786415_4
RAMA4_WB_1_5_XSXX,825786415_5
RAMA4_WB_2_0_XSXX,820373198#0_0
RAMA4_WB_2_1_XSXX,820373198#0_1
RAMA4_WB_2_2_XSXX,820373198#0_2
RAMA4_WB_2_3_XSXX,820373198#0_3
RAMA4_WB_3_0_XSXX,820373196#0_0
RAMA4_WB_3_1_XSXX,820373196#0_1
RAMA4_WB_3_2_XSXX,820373196#0_2
RAMA4_WB_4_0_XSXX,820373195_0
RAMA4_WB_4_1_XSXX,820373195_1
RAMA4_WB_5_0_LSXX,482209831#2_0
RAMA4_WB_5_1_XSXX,482209831#2_1
RAMA4_WB_5_2_XSXX,482209831#2_2
RAMA4_WB_6_0_LSXX,482209831#0_0
RAMA4_WB_6_1_XSXX,482209831#0_1
RAMA4_WB_6_2_XSXX,482209831#0_2
MASUKGRIDLOCK_ARI_NB_0_0_LSXX,-453962283#3_0
MASUKGRIDLOCK_MASUK_WB_0_0_LSRX,156261350#0_0
MASUKGRIDLOCK_ATTHAKAWI_SB_0_0_XSRT,27702347#0_0
MASUKGRIDLOCK_ATTHAKAWI_SB_0_1_XSRT,27702347#0_1
MASUKGRIDLOCK_ATTHAKAWI_SB_1_1_LSXT,27702347#4_1
MASUKGRIDLOCK_ATTHAKAWI_SB_2_1_LXXX,27702347#6_1
MASUKGRIDLOCK_ATTHAKAWI_SB_1_0_LSXT,27702347#4_0
MASUKGRIDLOCK_ATTHAKAWI_SB_2_0_LXXX,27702347#6_0
MASUKGRIDLOCK_SUKHUMVUT22_SB_0_0_XSXX,-453669106#1_0
MASUKGRIDLOCK_SUKHUMVUT24_SB_0_0_XSXX,328942767#2_0
NARANONG_WB_1_2_XSXX.0,482384850#2_2.0
NARANONG_WB_1_2_XSXX.1,482384850#2_2.1
NARANONG_WB_1_2_XSXX.2,482384850#2_2.2
NARANONG_WB_1_1_XSXX.0,482384850#2_1.0
NARANONG_WB_1_1_XSXX.1,482384850#2_1.1
NARANONG_WB_1_1_XSXX.2,482384850#2_1.2
NARANONG_SW_1_3_XSXX.0,824116549#0_3.0
NARANONG_SW_1_3_XSXX.1,824116549#0_3.1
NARANONG_SW_1_2_XSXX.0,824116549#0_2.0
NARANONG_SW_1_2_XSXX.1,824116549#0_2.1
NARANONG_SW_1_1_XSXX.0,824116549#0_1.0
NARANONG_SW_1_1_XSXX.1,824116549#0_1.1
SUNLAKAKHON_EB_2_2_XSXX.0,824116555#0_2.0
SUNLAKAKHON_EB_2_1_XSXX.0,824116555#0_1.0
SUNLAKAKHON_EB_2_0_XSXX.0,824116555#0_0.0
